A0,A1,A2,R3,R4,R5,R6,R7,R8,R9,R10,Class,Instance,Group
0,0,1,0,1,1,0,0,1,1,0,1,0,1
0,1,0,1,0,0,1,0,0,1,0,0,1,2
1,1,1,0,0,1,1,0,0,0,0,0,2,7
0,1,1,1,1,0,0,1,0,0,1,0,3,3
0,1,0,0,0,1,0,0,1,1,1,1,4,2
0,0,0,0,0,0,1,1,0,0,1,0,5,0
1,0,0,0,0,0,1,0,1,0,0,0,6,4
0,0,1,1,1,0,1,1,0,1,0,1,7,1
1,0,1,1,1,1,0,0,0,1,0,0,8,5
0,1,0,0,1,1,0,0,0,1,1,1,9,2
0,1,1,1,0,0,0,0,1,0,0,0,10,3
0,1,0,0,1,0,1,0,1,1,0,0,11,2
0,0,1,1,1,1,0,0,1,1,1,1,12,1
1,0,0,0,1,0,1,0,0,1,0,0,13,4
1,0,1,0,0,1,0,1,0,1,0,0,14,5
1,1,1,1,0,0,0,1,0,1,0,0,15,7
1,0,1,0,0,0,1,0,0,0,0,0,16,5
0,0,0,0,1,0,0,1,0,0,0,0,17,0
0,1,0,0,0,1,1,0,0,0,0,1,18,2
1,1,0,0,0,1,0,0,0,1,0,1,19,6
1,0,0,1,1,1,1,0,1,0,1,0,20,4
1,1,0,1,0,0,1,0,1,0,0,0,21,6
0,0,0,1,0,1,0,1,0,1,0,1,22,0
1,1,1,1,0,1,1,1,1,1,1,1,23,7
0,0,1,0,0,0,1,1,1,0,1,0,24,1
0,0,1,1,0,0,0,1,1,0,0,0,25,1
0,1,0,1,1,1,1,1,0,1,1,1,26,2
1,1,0,1,0,0,0,1,0,1,0,1,27,6
0,1,0,0,0,0,1,1,0,1,0,0,28,2
1,1,1,0,0,0,0,0,1,1,1,1,29,7
1,0,0,1,0,0,1,1,0,0,1,1,30,4
1,0,1,0,1,1,0,1,0,0,1,0,31,5
1,0,0,0,1,1,0,1,0,0,1,1,32,4
0,1,1,1,0,0,1,1,1,0,1,1,33,3
0,0,0,0,0,1,0,1,1,1,1,0,34,0
0,0,1,0,0,1,1,0,0,0,0,0,35,1
0,0,1,0,1,1,1,0,1,1,1,1,36,1
1,1,0,1,0,1,0,1,1,0,1,0,37,6
