Instance,Cluster,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,M0P0,M1P0,Class
1277,#F29BC3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,2,1,0
1550,#F29BC3,0,1,0,2,1,2,1,0,1,0,0,1,0,0,0,0,2,1,2,1,0
1356,#F29BC3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0
1359,#F29BC3,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,2,1,1,2,1,0
1380,#F29BC3,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,2,1,2,1,0
1220,#F29BC3,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,2,1,0
1416,#F29BC3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0
1224,#F29BC3,0,1,0,0,0,1,0,1,1,0,0,1,0,1,2,0,1,1,2,1,0
1535,#F29BC3,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,0
1556,#F29BC3,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0
1322,#F29BC3,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0,2,1,0
1370,#F29BC3,0,1,0,1,0,1,1,0,0,1,1,2,0,0,0,2,1,0,2,1,0
1231,#F29BC3,0,2,0,0,1,1,2,0,0,0,0,2,0,0,1,1,1,0,2,2,0
1571,#F29BC3,0,1,0,1,1,2,1,0,0,0,0,2,0,1,0,1,1,0,2,1,0
1554,#F29BC3,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,2,1,0
1592,#F29BC3,0,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,1,0
787,#F29BC3,0,1,0,0,1,0,2,0,2,0,0,2,0,1,1,0,1,1,0,0,1
413,#F29BC3,0,2,0,0,1,1,0,1,1,0,0,2,0,1,1,1,1,0,0,0,1
587,#F29BC3,0,1,0,0,1,0,0,0,2,0,0,2,0,0,1,1,1,0,1,0,1
774,#F29BC3,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1
617,#F29BC3,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,2,0,1,0,1
703,#F29BC3,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,1,2,0,0,0,1
536,#F29BC3,0,1,0,1,0,2,1,0,1,1,1,2,0,1,1,1,0,0,0,0,1
786,#F29BC3,0,1,0,0,0,0,1,0,1,1,1,2,0,0,1,1,1,1,0,0,1
412,#F29BC3,0,0,0,0,1,2,0,0,1,1,0,1,0,1,1,0,2,1,0,0,1
592,#F29BC3,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1
409,#F29BC3,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
527,#F29BC3,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2,0,0,1
639,#F29BC3,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1
744,#F29BC3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,2,0,0,0,1
590,#F29BC3,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1
416,#F29BC3,0,2,0,1,0,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,1
597,#F29BC3,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,2,0,0,0,1
410,#F29BC3,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,1,0,1
675,#F29BC3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,0,0,0,1
