Instance,Cluster,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,M0P0,M1P0,Class
1277,#42BC10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,2,1,0
1550,#42BC10,0,1,0,2,1,2,1,0,1,0,0,1,0,0,0,0,2,1,2,1,0
1356,#42BC10,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0
1359,#42BC10,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,2,1,1,2,1,0
1380,#42BC10,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,2,1,2,1,0
1220,#42BC10,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,2,1,0
1416,#42BC10,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0
1224,#42BC10,0,1,0,0,0,1,0,1,1,0,0,1,0,1,2,0,1,1,2,1,0
1535,#42BC10,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,0
1556,#42BC10,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0
1322,#42BC10,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0,2,1,0
1370,#42BC10,0,1,0,1,0,1,1,0,0,1,1,2,0,0,0,2,1,0,2,1,0
1231,#42BC10,0,2,0,0,1,1,2,0,0,0,0,2,0,0,1,1,1,0,2,2,0
1571,#42BC10,0,1,0,1,1,2,1,0,0,0,0,2,0,1,0,1,1,0,2,1,0
1554,#42BC10,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,2,1,0
1592,#42BC10,0,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,1,0
787,#42BC10,0,1,0,0,1,0,2,0,2,0,0,2,0,1,1,0,1,1,0,0,1
413,#42BC10,0,2,0,0,1,1,0,1,1,0,0,2,0,1,1,1,1,0,0,0,1
587,#42BC10,0,1,0,0,1,0,0,0,2,0,0,2,0,0,1,1,1,0,1,0,1
774,#42BC10,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1
617,#42BC10,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,2,0,1,0,1
703,#42BC10,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,1,2,0,0,0,1
536,#42BC10,0,1,0,1,0,2,1,0,1,1,1,2,0,1,1,1,0,0,0,0,1
786,#42BC10,0,1,0,0,0,0,1,0,1,1,1,2,0,0,1,1,1,1,0,0,1
412,#42BC10,0,0,0,0,1,2,0,0,1,1,0,1,0,1,1,0,2,1,0,0,1
592,#42BC10,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1
409,#42BC10,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
527,#42BC10,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2,0,0,1
639,#42BC10,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1
744,#42BC10,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,2,0,0,0,1
590,#42BC10,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1
416,#42BC10,0,2,0,1,0,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,1
597,#42BC10,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,2,0,0,0,1
410,#42BC10,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,1,0,1
675,#42BC10,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,0,0,0,1
421,#42BC10,0,2,0,0,0,2,0,1,1,0,2,1,0,0,1,1,1,1,0,0,1
615,#42BC10,0,1,0,1,0,0,2,0,1,0,2,0,0,0,1,1,1,0,0,0,1
417,#42BC10,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1
797,#42BC10,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1
543,#42BC10,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
738,#42BC10,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1
666,#42BC10,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,2,1,0,0,1
705,#42BC10,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,2,2,1,0,0,1
620,#42BC10,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,2,1,0,0,0,1
456,#42BC10,0,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,1,1,0,0,1
425,#42BC10,0,2,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1
538,#42BC10,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1
1411,#42BC10,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,0
1417,#42BC10,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,2,0,1,2,1,0
1474,#42BC10,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,2,2,1,0
531,#42BC10,0,0,0,0,0,1,0,2,2,1,0,2,0,0,2,1,1,0,1,0,1
657,#42BC10,0,1,0,0,0,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,1
701,#42BC10,0,1,0,0,0,2,1,1,1,1,1,2,0,0,0,1,1,1,0,0,1
751,#42BC10,0,0,1,0,0,2,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1
420,#42BC10,0,2,1,1,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1
581,#42BC10,0,1,1,1,0,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1
568,#42BC10,1,2,1,0,1,1,1,2,1,0,0,2,0,0,0,1,2,1,1,0,1
681,#42BC10,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,0,2,1,1,0,1
798,#42BC10,1,1,1,0,0,1,0,1,1,0,1,2,0,1,0,0,1,0,1,0,1
716,#42BC10,0,1,1,1,0,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1
423,#42BC10,0,1,0,0,0,1,2,1,1,0,1,0,0,1,0,0,2,0,1,0,1
514,#42BC10,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,2,1,1,0,1
603,#42BC10,1,1,0,0,0,1,2,1,1,0,0,1,0,0,2,0,0,0,0,0,1
792,#42BC10,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1
557,#42BC10,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,2,2,0,1,0,1
510,#42BC10,0,0,0,0,0,0,2,1,1,0,0,1,0,1,2,2,1,0,0,0,1
623,#42BC10,0,2,0,0,0,1,2,2,1,0,0,1,0,1,0,0,1,0,0,0,1
419,#42BC10,0,1,0,2,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1
776,#42BC10,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
574,#42BC10,1,0,0,0,0,1,2,1,1,1,1,1,0,0,0,1,1,1,0,0,1
651,#42BC10,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,1,0,2,0,0,1
578,#42BC10,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
563,#42BC10,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
573,#42BC10,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
428,#42BC10,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1
449,#42BC10,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,2,0,0,0,1
520,#42BC10,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
704,#42BC10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1
442,#42BC10,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,1,0,0,1
448,#42BC10,1,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
539,#42BC10,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1
632,#42BC10,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
482,#42BC10,0,0,1,1,0,0,0,1,1,1,0,2,1,1,0,0,1,1,0,0,1
643,#42BC10,0,2,0,1,0,0,1,1,1,1,0,2,1,1,0,1,1,1,0,0,1
404,#42BC10,0,1,0,0,1,0,1,2,1,0,0,1,1,0,0,0,0,2,0,0,1
640,#42BC10,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,2,1,0,0,1
769,#42BC10,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1
622,#42BC10,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1
584,#42BC10,0,0,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
616,#42BC10,0,1,2,0,0,2,0,0,1,0,1,2,1,1,0,1,0,1,0,0,1
