ClusterID: #452C6D
N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,M0P0,M1P0,Class,Accuracy,Numerosity,Specificity,Init Timestamp
0,#,0,#,0,0,0,#,#,#,#,#,#,#,#,#,1,#,#,#,0,0.5540540540540541,1,0.3,17965
1,#,#,#,0,#,0,#,#,#,#,#,1,#,#,0,0,#,#,#,1,1.0,1,0.3,19925
1,#,#,#,0,#,0,#,#,#,#,#,#,#,#,#,1,#,#,#,1,1.0,1,0.2,19993
0,#,#,#,1,#,0,#,#,#,#,#,#,#,#,#,0,#,#,1,1,1.0,1,0.25,19393
0,#,#,#,1,#,0,#,#,#,#,#,0,#,#,#,1,#,#,0,1,1.0,1,0.3,19993
0,#,#,#,#,#,2,1,#,#,#,#,#,#,#,#,#,#,#,#,1,0.6165413533834586,1,0.15,17332
1,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0.5087719298245614,2,0.1,18890
0,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.8551724137931035,1,0.15,15346
0,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,2,1,0.7909090909090909,1,0.15,17178
0,#,#,#,1,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.9324324324324325,2,0.2,15415
0,#,0,#,0,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0.29310344827586204,1,0.25,19389
#,#,#,#,#,0,1,#,#,#,#,#,0,#,#,#,#,#,2,#,0,0.8709677419354839,2,0.2,17820
#,#,#,2,#,#,2,#,#,#,#,#,#,#,#,#,#,#,0,#,1,0.9411764705882353,1,0.15,19589
#,#,#,#,#,#,2,#,#,#,#,#,#,#,#,#,#,#,2,#,1,0.976,5,0.1,17456
#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,0,#,0,0.6652173913043479,2,0.1,17690
#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,0,1,1,0.6530612244897959,1,0.15,18998
#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,0,2,0,1.0,1,0.15,18979
#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,0,0,0,1.0,1,0.15,17119
#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,2,2,1,1.0,1,0.15,15028
#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,1,1,0,1.0,3,0.15,16797
#,0,#,1,#,#,2,#,#,#,#,#,#,#,#,#,#,#,1,0,1,0.8,1,0.25,18475
#,0,#,1,#,#,2,#,#,1,#,#,#,#,#,#,#,#,0,0,1,0.0,1,0.3,19538
#,#,#,0,2,#,0,#,#,#,#,#,#,#,#,#,#,#,2,2,1,1.0,1,0.25,15209
#,#,#,0,#,#,0,#,#,#,#,#,#,#,#,#,#,#,0,0,1,0.5263157894736842,1,0.2,18040
#,#,#,#,0,#,1,#,#,#,#,#,#,#,2,#,#,#,#,0,1,0.8928571428571429,1,0.2,18469
#,#,#,#,1,#,2,#,#,#,#,#,#,#,0,#,#,#,#,#,1,0.48717948717948717,1,0.15,18911
#,#,#,#,0,#,2,#,#,#,#,#,#,#,#,#,0,#,#,2,1,0.8,1,0.2,18703
#,#,#,#,0,#,0,#,#,#,#,#,#,#,#,#,0,#,#,1,1,0.72,1,0.2,19196
#,#,#,0,0,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7163461538461539,2,0.2,17990
#,#,#,#,0,#,2,#,#,#,#,#,#,#,#,#,#,#,2,2,1,1.0,1,0.2,18330
#,#,#,#,0,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7450980392156863,5,0.15,16440
#,#,#,#,0,#,2,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7368421052631579,1,0.15,18977
#,#,#,#,#,0,1,#,1,#,#,#,#,#,#,#,1,#,#,#,1,0.5,1,0.2,18297
#,#,#,#,#,0,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7222222222222222,1,0.15,14876
#,#,#,#,#,1,1,#,#,#,#,#,#,#,#,#,#,#,#,#,1,0.5279187817258884,1,0.1,17982
#,#,#,#,#,#,1,#,#,#,#,#,#,#,0,#,#,#,#,1,0,0.8403755868544601,1,0.15,16381
#,#,#,#,#,#,0,#,#,#,#,#,#,#,1,#,#,#,#,2,1,0.8620689655172413,1,0.15,18911
#,#,#,#,#,#,0,#,1,0,#,#,#,#,0,#,#,#,#,2,1,1.0,1,0.25,19244
#,#,#,#,#,0,1,#,0,#,#,#,#,#,0,#,#,#,#,2,1,1.0,1,0.25,19692
#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,0,0,0.8493150684931506,1,0.1,18483
#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,#,#,#,#,1,0,0.8139013452914798,1,0.1,17387
#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,1,1,0.720532319391635,1,0.1,15907
#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,0,1,0.7205638474295191,4,0.1,14900
#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,#,#,#,#,2,1,0.7906403940886699,1,0.1,15416
#,#,#,#,#,#,0,#,#,0,#,#,#,#,#,#,#,#,#,0,1,0.733102253032929,1,0.15,17134
#,#,#,#,#,#,0,#,#,0,#,#,#,#,#,#,#,0,#,2,1,0.8,1,0.2,19461
#,#,#,#,1,#,#,#,#,#,0,#,#,#,#,#,#,#,1,1,0,1.0,1,0.2,8303
#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,1,1,0,1.0,3,0.15,19213
#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,1,0,0,1.0,2,0.15,16431
#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,0,0,0,1.0,3,0.15,3526
#,#,#,#,#,#,#,#,#,#,2,#,#,#,#,#,#,#,0,1,0,1.0,1,0.15,11706
#,#,#,#,#,#,1,#,#,#,0,#,#,#,#,#,#,#,0,#,0,0.6185897435897436,1,0.15,14589
#,#,#,#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,0,#,0,0.8181818181818182,1,0.1,19967
#,#,#,#,#,#,#,#,#,#,2,#,#,#,#,#,#,#,1,#,1,0.9662027833001988,1,0.1,14706
#,#,#,#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,1,#,0,0.7243150684931506,1,0.1,16267
#,#,#,#,#,#,#,#,2,0,0,#,#,#,#,#,#,#,#,0,0,0.7818181818181819,1,0.2,16984
#,#,#,#,#,#,#,#,0,#,0,#,#,#,#,#,#,#,#,1,1,0.875,1,0.15,19590
#,#,#,#,#,#,#,#,0,#,0,#,#,#,#,#,#,#,#,0,1,0.7341772151898734,1,0.15,19700
#,#,#,#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,1,1,0.7388059701492538,2,0.1,17151
#,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,1,0,0.7777777777777778,1,0.1,19929
0,#,#,#,#,#,#,#,#,#,1,#,#,#,#,#,#,#,#,0,1,0.7153846153846154,1,0.15,17124
0,#,#,#,#,#,#,#,#,#,0,#,#,#,#,#,#,#,#,0,1,0.6914893617021277,1,0.15,19700
#,#,#,#,#,#,#,#,#,#,#,2,#,#,#,#,#,#,0,1,0,1.0,2,0.15,15891
